nombreImagen,celsius,farenheit,kelvin
1,133.0,271.4,406.15
2,207.0,404.6,480.15
3,254.0,489.2,527.15
4,301.0,573.8000000000001,574.15
5,386.0,726.8000000000001,659.15
6,91.0,195.8,364.15
7,388.0,730.4,661.15
8,134.0,273.20000000000005,407.15
9,264.0,507.2,537.15
10,243.0,469.40000000000003,516.15
11,293.0,559.4,566.15
12,239.0,462.2,512.15
13,81.0,177.8,354.15
14,222.0,431.6,495.15
15,198.0,388.40000000000003,471.15
16,178.0,352.40000000000003,451.15
17,319.0,606.2,592.15
18,60.0,140.0,333.15
19,42.0,107.60000000000001,315.15
